tomb_ja,pref_en,tomb_en
Ireland1_newgrange,Ireland,Newgrange
Ireland2_LoughCrew_T古墳,Ireland,LoughCrew_T
Italy1_CACCIA_E_PESCA,Italy,Caccia_e_Pesca
Italy2_GIOCOLIERI,Italy,Giocolieri
Italy3_CARONTI,Italy,Caronti
Italy4_5636,Italy,Tomba5636
Italy5_GORGONEION,Italy,Gorgoneion
Italy6_CARDARELLI,Italy,Cardarelli
Italy7_MORETTI_5591,Italy,Moretti5591
Italy8_FUSTIGAZIONE,Italy,Fustigazione
Italy9_FIORELLINI,Italy,Fiorellini
Italy10_BETTINI_5513,Italy,Bettini5513
Italy11_CERVO,Italy,Cervo
Italy12_BARTOCCINI,Italy,Bartoccini
Italy13_BACCANTI,Italy,Baccanti
Italy14_CACCIATORE,Italy,Cacciatore
Italy15_LEONESSE,Italy,Leonesse
Italy16_LOTO,Italy,Loto
Italy17_PALLOTTINO_3713,Italy,Pallottino3713
Italy18_LEOPARDI,Italy,Leopardi
Italy20_GUERRIERO,Italy,Guerriero
Italy21_CRISTOFANI_3242,Italy,Cristofani3242
Italy22_PULCELLA,Italy,Pulcella
Italy31_Rilievi,Italy,Rilievi
Italy32_Mengarelli,Italy,Mengarelli
Italy33_Capitelli,Italy,Capitelli
Italy34_Maroi,Italy,Maroi
Bulgalia2_sveshtari,Bulgaria,Sveshtari
china1_五盔墳4号墳,China,Wukuifen_No4
china2_五盔墳5号墳,China,Wukuifen_No5
china3_角抵塚,China,Jiaodizhong
china4_舞踊塚,China,Wuyongzhong
china5_長川１号墳,China,Changchuan_No1
DPR_Korea_江西大墓,DPRKorea,Gangseo_Daemyo
korea1_高霊古衙洞古墳群,Korea,Goryeong_Goadong
korea2_陵山里東下塚古墳,Korea,Neungsanri_Donghachong
korea4_宋山里6号墳,Korea,Songsanri_No6
korea5_屯馬里壁画古墳,Korea,Dunmari
korea6_武寧王陵,Korea,Muryeongwangneung
佐賀1_田代太田古墳,Saga,Tashiro_Ota
佐賀4_伊勢塚古墳,Saga,Isezuka
佐賀5_西原古墳,Saga,Nishibaru
佐賀6_西隈古墳,Saga,Nishiguma
佐賀8_米ノ隈1号墳,Saga,Komenokuma_No1
佐賀12_古賀山１号墳,Saga,Kogayama_No1
佐賀17_天山１号墳,Saga,Tenzan_No1
佐賀18_永池古墳,Saga,Nagaike
佐賀21_勇猛寺古墳,Saga,Imyoji
佐賀22_勇猛山古墳,Saga,Imyozan
佐賀30_竜王崎6号墳,Saga,Ryuozaki_No6
兵庫3_北神第３地点古墳,Hyogo,Hokushin_No3
兵庫5_中垣内群集墳出土石棺,Hyogo,Nakagaito_Sarcophagus
兵庫7_三ノ谷古墳,Hyogo,Sannotani
千葉54_鴇谷東部横穴墓群,Chiba,Touya_Tobu
千葉79_大満横穴墓群,Chiba,Daiman
千葉81_長柄横穴墓群,Chiba,Nagara
和歌山1_寺山15号墳,Wakayama,Terayama_No15
埼玉1_地蔵塚古墳,Saitama,Jizozuka
大分1_日田穴観音古墳,Oita,Hita_Anakannon
大分2_法恩寺3号墳,Oita,Hoonji_No3
大分3_ガランドヤ1号墳,Oita,Garandoya_No1
大分4_ガランドヤ2号墳,Oita,Garandoya_No2
大分5_鬼塚古墳,Oita,Onizuka
大分7_城山装飾横穴,Oita,Shiroyama
大分8_水雲横穴墓群,Oita,Sunori
大分9_観音山横穴墓群,Oita,Kannonyama
大分10_穴瀬横穴墓群,Oita,Ananse
大分11_鬼ヶ城古墳,Oita,Onigajo
大分12_鬼の岩屋1号墳,Oita,Oninoiwaya_No1
大分13_鬼の岩屋2号墳,Oita,Oninoiwaya_No2
大分14_千代丸古墳,Oita,Chiyomaru
大分15_伊美鬼塚古墳,Oita,Imi_Onizuka
大分16_四日市横穴墓群,Oita,Yokkaichi
大分17_貴船平下の裏山横穴墓群,Oita,Kifunebirashita_nourayama
大阪1_高井田横穴群,Osaka,Takaida
大阪28_安福寺横穴群,Osaka,Anpukuji
大阪99_玉手山3号墳,Osaka,Tamateyama_No3
奈良1_水泥南古墳,Nara,Midorominami
奈良1_水泥古墳,Nara,Mizoro
宮城2_大年寺山横穴墓,Miyagi,Dainenjiyama
宮城3_山畑横穴墓,Miyagi,Yamahata
宮城20_川北横穴墓,Miyagi,Kawakita
宮崎9_土器田東横穴墓群,Miyazaki,Dokida_Higashi
宮崎12_蓮ヶ池横穴墓群,Miyazaki,Hasugaike
宮崎16_本庄古墳群,Miyazaki,Honjo
山口1_穴観音古墳,Yamaguchi,Anakannon
山梨1_丸山塚古墳,Yamanashi,Maruyamazuka
岡山1_千足古墳,Okayama,Senzoku
岡山2_鶴山丸山古墳,Okayama,Tsuruyama_Maruyama
島根4_日吉垣の内古墳,Shimane,Hiyoshi_Kakinouchi
島根5_丹花庵古墳,Shimane,Tangean
島根6_十王免横穴墓群,Shimane,Juomen
島根10_狐谷横穴墓群,Shimane,Kitsunedani
島根12_深田谷横穴墓群,Shimane,Fukadaya
島根21_伊賀見古墳,Shimane,Igami
広島1_土師大迫古墳,Hiroshima,Haji_Osako
熊本9_大坊古墳,Kumamoto,Daibo
熊本10_永安寺東古墳,Kumamoto,Eianji_Higashi
熊本12_石貫穴観音横穴墓群,Kumamoto,Ishinuki_Anakannon
熊本21_石貫ナギノ横穴墓群,Kumamoto,Ishinuki_Nagino
熊本32_臼塚古墳,Kumamoto,Usuzuka
熊本33_チブサン古墳,Kumamoto,Chibusan
熊本34_馬塚古墳,Kumamoto,Umazuka
熊本35_弁慶が穴古墳,Kumamoto,Benkeigaana
熊本45_長岩横穴墓群,Kumamoto,Nagaiwa
熊本54_鍋田横穴墓群,Kumamoto,Nabeta
熊本62_付城横穴墓群,Kumamoto,Tsukejiro
熊本67_岩原横穴墓群,Kumamoto,Iwabaru
熊本78_御霊塚古墳,Kumamoto,Goryozuka
熊本80_釜尾古墳,Kumamoto,Kamao
熊本83_千金甲１号古墳,Kumamoto,Segonkou_No1
熊本84_中郡古墳,Kumamoto,Nakagori
熊本85_今城大塚古墳,Kumamoto,Imajo_Otsuka
熊本88_大村横穴墓群,Kumamoto,Omura
熊本95_京ヶ峰１号横穴墓,Kumamoto,Kyogamine_No1
熊本98_江田穴観音古墳,Kumamoto,Eta_Anakannon
熊本117_オブサン古墳,Kumamoto,Obusan
熊本120_小原浦田横穴墓群,Kumamoto,Obaru_Urata
熊本153_井寺古墳,Kumamoto,Idera
熊本171_小田良古墳,Kumamoto,Odara
熊本173_広浦古墳,Kumamoto,Hiroura
熊本189_田川内１号古墳,Kumamoto,Tanokawachi_No1
神奈川1_馬絹古墳,Kanagawa,Umaginu
神奈川8_熊ケ谷横穴墓,Kanagawa,Kumagaya
神奈川13_箕輪洞谷横穴墓群,Kanagawa,Minowa_Douyato
神奈川23_洗馬谷横穴墓群,Kanagawa,Senbagaya
神奈川32_越の山横穴墓群,Kanagawa,Koshinoyama
神奈川50_羽根尾横穴墓群,Kanagawa,Haneo
福井1_小山谷古墳,Fukui,Koyamadani
福井2_山頂古墳,Fukui,Sancho
福岡1_弘化谷古墳,Fukuoka,Kokadani
福岡2_下馬場古墳,Fukuoka,Shimobaba
福岡3_前畑古墳,Fukuoka,Maehata
福岡7_中原狐塚古墳,Fukuoka,Nakabaru_Kitsunezuka
福岡8_西館古墳,Fukuoka,Nishinotate
福岡9_寺徳古墳,Fukuoka,Jitoku
福岡12_珍敷塚古墳,Fukuoka,Mezurashizuka
福岡13_原古墳,Fukuoka,Hara
福岡14_鳥船塚古墳,Fukuoka,Torifunezuka
福岡15_古畑古墳,Fukuoka,Furuhata
福岡16_日岡古墳,Fukuoka,Hinooka
福岡17_重定古墳,Fukuoka,Shigesada
福岡18_塚花塚古墳,Fukuoka,Tsukahanazuka
福岡19_仙道古墳,Fukuoka,Sendo
福岡20_砥上観音塚古墳,Fukuoka,Togami_Kannonzuka
福岡21_吉武K7号墳,Fukuoka,Yoshitake_K7
福岡22_五郎山古墳,Fukuoka,Gorozan
福岡23_王塚古墳,Fukuoka,Ozuka
福岡24_川島古墳群,Fukuoka,Kawashima
福岡25_竹原古墳,Fukuoka,Takehara
福岡26_損ヶ熊古墳,Fukuoka,Songakuma
福岡27_日明一本松塚古墳,Fukuoka,Hiagari_Ipponmatsuzuka
福岡28_石人山古墳,Fukuoka,Sekijinsan
福岡29_丸山塚古墳,Fukuoka,Maruyamazuka
福岡30_乗場古墳,Fukuoka,Noriba
福岡34_萩ノ尾古墳,Fukuoka,Haginoo
福岡35_倉永古墳,Fukuoka,Kuranaga
福岡36_浦山古墳,Fukuoka,Urayama
福岡37_日輪寺古墳,Fukuoka,Nichirinji
福岡51_狐塚古墳,Fukuoka,Kitsunezuka
福岡54_殿様塚古墳,Fukuoka,Tonosamazuka
福岡55_東光寺剣塚古墳,Fukuoka,Tokoji_Tsurugizuka
福岡56_桜京2号墳,Fukuoka,Sakurakyo_No2
福岡60_垣生羅漢百穴1号,Fukuoka,Habu_Rakan_Hyakketsu_No1
福岡62_古月横穴墓群,Fukuoka,Furutsuki
福岡63_水町横穴墓群,Fukuoka,Mizumachi
福岡66_穴ケ葉山古墳群,Fukuoka,Anagahayama
福岡70_山田1号墳,Fukuoka,Yamada_No1
福岡71_百留横穴墓群,Fukuoka,Hyakudomi
福岡999_丸ノ口古墳群,Fukuoka,Marunokuchi
福島1_羽山横穴墓,Fukushima,Hayama
福島2_清戸さく横穴墓,Fukushima,Kiyotosaku
福島3_中田横穴墓,Fukushima,Nakata
福島4_泉崎横穴墓,Fukushima,Izumizaki
茨城2_船玉古墳,Ibaraki,Funatama
茨城3_花園古墳,Ibaraki,Hanazono
茨城4_大師の唐櫃古墳,Ibaraki,Daishino_Karato
茨城6_吉田古墳,Ibaraki,Yoshida
茨城9_白河内古墳,Ibaraki,Shirakochi
茨城10_十王前横穴墓群,Ibaraki,Juomae
茨城13_幡バッケ横穴墓群,Ibaraki,Hata_Bakke
長崎1_長戸鬼塚古墳,Nagasaki,Nagato_Onizuka
長崎2_丸尾古墳,Nagasaki,Maruo
長崎3_善神さん古墳,Nagasaki,Zenjinsan
長崎4_双六古墳,Nagasaki,Sugoroku
長崎6_鬼屋窪古墳,Nagasaki,Oniyakubo
長崎7_百田頭5号墳,Nagasaki,Hyakutagashira_No5
長野1_吉古墳,Nagano,Yoshi
長野99_神宮寺古墳,Nagano,Jinguji
静岡7_兎沢古墳群,Shizuoka,Usagisawa
香川1_宮が尾古墳,Kagawa,Miyagao
香川4_岡古墳群,Kagawa,Oka
香川10_興昌寺山古墳,Kagawa,Koshojiyama
香川15_醍醐古墳群,Kagawa,Daigo
