photo_key,decision,new_folder,new_name
11_1_1,exclude,Saitama\Saitama_Jizozuka,Saitama_Jizozuka_1
11_1_2,exclude,Saitama\Saitama_Jizozuka,Saitama_Jizozuka_2
11_1_3,exclude,Saitama\Saitama_Jizozuka,Saitama_Jizozuka_3
11_1_5,exclude,Saitama\Saitama_Jizozuka,Saitama_Jizozuka_5
11_1_6,exclude,Saitama\Saitama_Jizozuka,Saitama_Jizozuka_6
11_1_7,exclude,Saitama\Saitama_Jizozuka,Saitama_Jizozuka_7
12_54_2,exclude,Chiba\Chiba_Touya_Tobu,Chiba_Touya_Tobu_2
12_54_3,exclude,Chiba\Chiba_Touya_Tobu,Chiba_Touya_Tobu_3
12_54_5,adopt,Chiba\Chiba_Touya_Tobu,Chiba_Touya_Tobu_5
12_54_6,adopt,Chiba\Chiba_Touya_Tobu,Chiba_Touya_Tobu_6
12_54_7,exclude,Chiba\Chiba_Touya_Tobu,Chiba_Touya_Tobu_7
12_79_1,exclude,Chiba\Chiba_Daiman,Chiba_Daiman_1
12_79_2,exclude,Chiba\Chiba_Daiman,Chiba_Daiman_2
12_79_3,exclude,Chiba\Chiba_Daiman,Chiba_Daiman_3
12_79_5,exclude,Chiba\Chiba_Daiman,Chiba_Daiman_5
12_81_1,exclude,Chiba\Chiba_Nagara,Chiba_Nagara_1
12_81_2,exclude,Chiba\Chiba_Nagara,Chiba_Nagara_2
12_81_3,exclude,Chiba\Chiba_Nagara,Chiba_Nagara_3
12_81_5,exclude,Chiba\Chiba_Nagara,Chiba_Nagara_5
12_81_6,exclude,Chiba\Chiba_Nagara,Chiba_Nagara_6
12_81_7,exclude,Chiba\Chiba_Nagara,Chiba_Nagara_7
12_81_8,exclude,Chiba\Chiba_Nagara,Chiba_Nagara_8
14_13_1,exclude,Kanagawa\Kanagawa_Minowa_Douyato,Kanagawa_Minowa_Douyato_1
14_13_2,exclude,Kanagawa\Kanagawa_Minowa_Douyato,Kanagawa_Minowa_Douyato_2
14_13_3,exclude,Kanagawa\Kanagawa_Minowa_Douyato,Kanagawa_Minowa_Douyato_3
14_13_5,exclude,Kanagawa\Kanagawa_Minowa_Douyato,Kanagawa_Minowa_Douyato_5
14_13_6,exclude,Kanagawa\Kanagawa_Minowa_Douyato,Kanagawa_Minowa_Douyato_6
14_1_1,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_1
14_1_10,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_10
14_1_11,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_11
14_1_12,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_12
14_1_2,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_2
14_1_3,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_3
14_1_5,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_5
14_1_6,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_6
14_1_7,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_7
14_1_8,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_8
14_1_9,exclude,Kanagawa\Kanagawa_Umaginu,Kanagawa_Umaginu_9
14_23_2,exclude,Kanagawa\Kanagawa_Senbagaya,Kanagawa_Senbagaya_2
14_23_3,exclude,Kanagawa\Kanagawa_Senbagaya,Kanagawa_Senbagaya_3
14_23_5,adopt,Kanagawa\Kanagawa_Senbagaya,Kanagawa_Senbagaya_5
14_23_6,adopt,Kanagawa\Kanagawa_Senbagaya,Kanagawa_Senbagaya_6
14_32_1,exclude,Kanagawa\Kanagawa_Koshinoyama,Kanagawa_Koshinoyama_1
14_32_2,exclude,Kanagawa\Kanagawa_Koshinoyama,Kanagawa_Koshinoyama_2
14_32_3,exclude,Kanagawa\Kanagawa_Koshinoyama,Kanagawa_Koshinoyama_3
14_32_5,exclude,Kanagawa\Kanagawa_Koshinoyama,Kanagawa_Koshinoyama_5
14_50_1,exclude,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_1
14_50_2,exclude,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_2
14_50_3,exclude,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_3
14_50_5,adopt,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_5
14_50_6,exclude,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_6
14_50_7,exclude,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_7
14_50_8,exclude,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_8
14_50_9,exclude,Kanagawa\Kanagawa_Haneo,Kanagawa_Haneo_9
14_8_1,exclude,Kanagawa\Kanagawa_Kumagaya,Kanagawa_Kumagaya_1
14_8_2,exclude,Kanagawa\Kanagawa_Kumagaya,Kanagawa_Kumagaya_2
14_8_3,exclude,Kanagawa\Kanagawa_Kumagaya,Kanagawa_Kumagaya_3
14_8_5,exclude,Kanagawa\Kanagawa_Kumagaya,Kanagawa_Kumagaya_5
14_8_6,exclude,Kanagawa\Kanagawa_Kumagaya,Kanagawa_Kumagaya_6
14_8_7,exclude,Kanagawa\Kanagawa_Kumagaya,Kanagawa_Kumagaya_7
14_8_8,exclude,Kanagawa\Kanagawa_Kumagaya,Kanagawa_Kumagaya_8
18_1_1,exclude,Fukui\Fukui_Koyamadani,Fukui_Koyamadani_1
18_1_2,exclude,Fukui\Fukui_Koyamadani,Fukui_Koyamadani_2
18_1_3,exclude,Fukui\Fukui_Koyamadani,Fukui_Koyamadani_3
18_1_5,exclude,Fukui\Fukui_Koyamadani,Fukui_Koyamadani_5
18_2_1,exclude,Fukui\Fukui_Sancho,Fukui_Sancho_1
18_2_2,exclude,Fukui\Fukui_Sancho,Fukui_Sancho_2
18_2_3,exclude,Fukui\Fukui_Sancho,Fukui_Sancho_3
19_1_1,exclude,Yamanashi\Yamanashi_Maruyamazuka,Yamanashi_Maruyamazuka_1
19_1_2,exclude,Yamanashi\Yamanashi_Maruyamazuka,Yamanashi_Maruyamazuka_2
19_1_3,exclude,Yamanashi\Yamanashi_Maruyamazuka,Yamanashi_Maruyamazuka_3
19_1_5,exclude,Yamanashi\Yamanashi_Maruyamazuka,Yamanashi_Maruyamazuka_5
19_1_6,exclude,Yamanashi\Yamanashi_Maruyamazuka,Yamanashi_Maruyamazuka_6
19_1_7,exclude,Yamanashi\Yamanashi_Maruyamazuka,Yamanashi_Maruyamazuka_7
20_1_2,exclude,Nagano\Nagano_Yoshi,Nagano_Yoshi_2
20_1_3,exclude,Nagano\Nagano_Yoshi,Nagano_Yoshi_3
20_1_5,exclude,Nagano\Nagano_Yoshi,Nagano_Yoshi_5
20_1_6,exclude,Nagano\Nagano_Yoshi,Nagano_Yoshi_6
20_1_7,exclude,Nagano\Nagano_Yoshi,Nagano_Yoshi_7
20_1_8,exclude,Nagano\Nagano_Yoshi,Nagano_Yoshi_8
20_99_1,exclude,Nagano\Nagano_Jinguji,Nagano_Jinguji_1
20_99_2,exclude,Nagano\Nagano_Jinguji,Nagano_Jinguji_2
20_99_3,exclude,Nagano\Nagano_Jinguji,Nagano_Jinguji_3
20_99_5,adopt,Nagano\Nagano_Jinguji,Nagano_Jinguji_5
20_99_6,adopt,Nagano\Nagano_Jinguji,Nagano_Jinguji_6
20_99_7,exclude,Nagano\Nagano_Jinguji,Nagano_Jinguji_7
22_7_1,exclude,Shizuoka\Shizuoka_Usagisawa,Shizuoka_Usagisawa_1
22_7_10,adopt,Shizuoka\Shizuoka_Usagisawa,Shizuoka_Usagisawa_10
22_7_11,adopt,Shizuoka\Shizuoka_Usagisawa,Shizuoka_Usagisawa_11
22_7_12,exclude,Shizuoka\Shizuoka_Usagisawa,Shizuoka_Usagisawa_12
22_7_2,exclude,Shizuoka\Shizuoka_Usagisawa,Shizuoka_Usagisawa_2
