"source","target","status"
"アイルランド\Ireland1_newgrange\Ireland1_1.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_1.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_10.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_10.jpg","OK_ledger"
"アイルランド\Ireland1_newgrange\Ireland1_11.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_11.jpg","OK_ledger"
"アイルランド\Ireland1_newgrange\Ireland1_12.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_12.jpg","OK_ledger"
"アイルランド\Ireland1_newgrange\Ireland1_13.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_13.jpg","OK_ledger"
"アイルランド\Ireland1_newgrange\Ireland1_14.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_14.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_15.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_15.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_16.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_16.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_17.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_17.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_18.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_18.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_19.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_19.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_2.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_2.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_20.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_20.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_21.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_21.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_22.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_22.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_23.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_23.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_24.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_24.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_3.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_3.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_5.JPG","Ireland\Ireland_Newgrange\Ireland_Newgrange_5.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_6.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_6.jpg","OK_extra"
"アイルランド\Ireland1_newgrange\Ireland1_7.jpg","Ireland\Ireland_Newgrange\Ireland_Newgrange_7.jpg","OK_extra"
